"year","sex","age","deaths"
2010,"male",0,820.12509392574
2010,"male",1,140.717594618065
2010,"male",5,81.395104540141
2010,"male",10,108.492799092249
2010,"male",15,350.373587611139
2010,"male",20,405.013524184376
2010,"male",25,400.036322606956
2010,"male",30,419.068281841801
2010,"male",35,473.005587380747
2010,"male",40,516.919373991285
2010,"male",45,602.64207099759
2010,"male",50,735.983169333025
2010,"male",55,813.404319999799
2010,"male",60,943.039558406098
2010,"male",65,1065.37750375069
2010,"male",70,1269.30924447546
2010,"male",75,1425.36799746824
2010,"male",80,1434.20820948444
2010,"male",85,2409.41299823505
2019,"male",0,641.866891651533
2019,"male",1,116.0536864633
2019,"male",5,69.0338386592206
2019,"male",10,123.056790896929
2019,"male",15,564.752218366989
2019,"male",20,963.941126087356
2019,"male",25,1046.47858577414
2019,"male",30,967.44404814832
2019,"male",35,959.426552720108
2019,"male",40,1022.46171543738
2019,"male",45,1061.48100406819
2019,"male",50,1129.50593110942
2019,"male",55,1245.57680289022
2019,"male",60,1381.62192478382
2019,"male",65,1526.18040525585
2019,"male",70,1679.7543340209
2019,"male",75,1680.25517842259
2019,"male",80,1782.28771226427
2019,"male",85,3164.4030095726
2021,"male",0,516.031338828736
2021,"male",1,101.011742652692
2021,"male",5,71.3417134697041
2021,"male",10,130.68160796982
2021,"male",15,663.4129385717
2021,"male",20,1045.78936365114
2021,"male",25,1164.13815779997
2021,"male",30,1122.13248361361
2021,"male",35,1121.46349931909
2021,"male",40,1250.14546735555
2021,"male",45,1499.50317154691
2021,"male",50,1736.1956049929
2021,"male",55,1956.88691416309
2021,"male",60,2303.59593631927
2021,"male",65,2543.95039851304
2021,"male",70,2615.14166538031
2021,"male",75,2700.63545120297
2021,"male",80,2540.95073150484
2021,"male",85,4201.80957947935
2010,"female",0,635.079153511621
2010,"female",1,118.465300119369
2010,"female",5,64.420777183642
2010,"female",10,78.1053770184499
2010,"female",15,144.193892427724
2010,"female",20,133.18219271305
2010,"female",25,131.510526505041
2010,"female",30,149.197563287863
2010,"female",35,207.281224150251
2010,"female",40,262.022247888427
2010,"female",45,364.163233732279
2010,"female",50,530.719552637252
2010,"female",55,651.550574170291
2010,"female",60,806.764406149764
2010,"female",65,911.240143961616
2010,"female",70,1073.46399190506
2010,"female",75,1290.08746833855
2010,"female",80,1443.96549117465
2010,"female",85,2954.69454118221
2019,"female",0,535.918243406886
2019,"female",1,103.5
2019,"female",5,57.5
2019,"female",10,60.5
2019,"female",15,145.5
2019,"female",20,203
2019,"female",25,243
2019,"female",30,247
2019,"female",35,274
2019,"female",40,367.5
2019,"female",45,485.5
2019,"female",50,686
2019,"female",55,866
2019,"female",60,1118
2019,"female",65,1249
2019,"female",70,1395.5
2019,"female",75,1559.5
2019,"female",80,1824.5
2019,"female",85,4122
2021,"female",0,412.077704844534
2021,"female",1,88.0105965916679
2021,"female",5,52.6720196166403
2021,"female",10,83.0082720713379
2021,"female",15,176.019841600136
2021,"female",20,252.361327733236
2021,"female",25,298.367307064608
2021,"female",30,317.035682825917
2021,"female",35,393.044994481523
2021,"female",40,529.0559897808
2021,"female",45,751.418126030487
2021,"female",50,984.781028888404
2021,"female",55,1370.82311662591
2021,"female",60,1715.52302949055
2021,"female",65,1952.88197124787
2021,"female",70,2091.71991423635
2021,"female",75,2284.91772548257
2021,"female",80,2282.25524408029
2021,"female",85,4985.87500763913
