"x","mx","qx","ax","lx","dx","Lx","Tx","ex","year","sex"
0,0.0153497310824761,0.0151374046929044,0.0861986782253659,1e+05,1513.74046929044,98616.7419583386,7106925.41369731,71.0692541369731,2010,"m"
1,0.000624588268090562,0.00249462571345393,1.60777515727175,98486.2595307096,245.686355447205,393357.301119818,7008308.67173897,71.1602684997258,2010,"m"
5,0.00027601565763651,0.00137836626016861,0.5,98240.5731752624,135.411491444407,490593.514164812,6614951.37061915,67.3342098566343,2010,"m"
10,0.000367959371115043,0.00183675552424105,0.5,98105.1616838179,180.195197679314,489714.930029533,6124357.85645434,62.4264590296733,2010,"m"
15,0.00123796450137448,0.00615553102682993,0.5,97924.9664861386,602.780169506708,486912.321667913,5634642.92642481,57.5404120993229,2010,"m"
20,0.00173568546867882,0.00861116907872187,0.5,97322.1863166319,838.05780148339,482839.671476484,5147730.60475689,52.893700805375,2010,"m"
25,0.00201398279967905,0.00997947082671817,0.5,96484.1285151485,962.860545758252,478087.770119831,4664890.93328041,48.348790677505,2010,"m"
30,0.00220760034127217,0.0109294265800448,0.5,95521.2679693903,1043.99268510423,472908.372763982,4186803.16316058,43.831109575537,2010,"m"
35,0.00258508572537194,0.0127767975999475,0.5,94477.2752842861,1207.11702410185,466954.349812972,3713894.7903966,39.3099269556762,2010,"m"
40,0.00338261391244438,0.0166594828688535,0.5,93270.1582601842,1553.83260371079,459358.544584222,3246940.44058362,34.8122111203675,2010,"m"
45,0.00478707597019213,0.023430640694308,0.5,91716.3256564734,2148.97227225897,448911.253057202,2787581.8959994,30.3935191041166,2010,"m"
50,0.00689388815637481,0.0334322877454928,0.5,89567.3533842144,2994.44153094329,434361.780031827,2338670.6429422,26.11074855489,2010,"m"
55,0.00970854328931047,0.0465107347775286,0.5,86572.9118532711,4026.56974212586,414744.995426789,1904308.86291037,21.9965901821335,2010,"m"
60,0.0140839997619071,0.0662229224983854,0.5,82546.3421111453,5466.46001615158,388132.640483044,1489563.86748358,18.0451832193599,2010,"m"
65,0.0210462952104839,0.096127409756431,0.5,77079.8820949937,7409.48941012285,352056.708129416,1101431.22700054,14.2894773196867,2010,"m"
70,0.0309151523764143,0.135697738674864,0.5,69670.3926848709,9454.11473992678,305808.447094684,749374.518871123,10.7559967726987,2010,"m"
75,0.049639863749668,0.202880088884482,0.5,60216.2779449441,12216.6838217629,246106.312526787,443566.071776439,7.36621536425736,2010,"m"
80,0.0738844242751729,0.277244046093759,0.5,47999.5941231811,13307.6016855689,180113.763030846,197459.759249652,4.11377976953121,2010,"m"
85,0.147977325295394,1,0.5,34691.9924376122,34691.9924376122,17345.9962188061,17345.9962188061,0.5,2010,"m"
0,0.0127788899238477,0.012630287735409,0.0792985405556072,1e+05,1263.0287735409,98837.1275648806,6864517.02497809,68.6451702497809,2019,"m"
1,0.000519374174232956,0.00207492648591119,1.61501464597444,98736.9712264591,204.871956736431,394459.268289569,6765679.89741321,68.5222547681326,2019,"m"
5,0.000247276611150359,0.00123500880618629,0.5,98532.0992697227,121.688010290129,492112.900302308,6371220.62912364,64.6613710287751,2019,"m"
10,0.000438959498848587,0.00219047061876019,0.5,98410.4112594325,215.565114443894,491082.013282165,5879107.72882133,59.7407088699452,2019,"m"
15,0.00202523410984379,0.0100347186044174,0.5,98194.8461449886,985.357649469019,486540.121302333,5388025.71553917,54.8707587726502,2019,"m"
20,0.00363699333914255,0.0178921355947969,0.5,97209.4884955196,1739.28534926268,478220.658405916,4901485.59423683,50.4218844281106,2019,"m"
25,0.0043779524680194,0.0214668485484718,0.5,95470.2031462569,2049.44439183253,468128.515968038,4423264.93583092,46.3313661232567,2019,"m"
30,0.00446724644001963,0.0218960641836121,0.5,93420.7587544244,2045.54692976861,457898.832588163,3955136.41986288,42.3368047166023,2019,"m"
35,0.00464121006527832,0.0227312970650828,0.5,91375.2118246558,2077.07708437111,447529.212243609,3497237.58727472,38.273373242469,2019,"m"
40,0.00538966450794663,0.0263102081616678,0.5,89298.1347402847,2349.45251346555,435918.137390828,3049708.37503111,34.1519829490381,2019,"m"
45,0.006219545240719,0.0302510609148661,0.5,86948.6822268191,2630.28988251084,422907.106662797,2613790.23764028,30.0612978908847,2019,"m"
50,0.00778470903813489,0.0376061567433711,0.5,84318.3923443083,3170.89067884912,407322.95366672,2190883.13097748,25.9834547370301,2019,"m"
55,0.010891816655248,0.0519145846561056,0.5,81147.5016654592,4212.73884484295,386780.183525503,1783560.17731076,21.9792370769924,2019,"m"
60,0.0142651515081921,0.0670233175345089,0.5,76934.7628206162,5156.42303796829,361469.910432224,1396779.99378526,18.1553818140967,2019,"m"
65,0.0206679787678872,0.0945465101498396,0.5,71778.3397826479,6786.39153079876,328352.937024645,1035310.08335304,14.4237117560543,2019,"m"
70,0.0309311069739986,0.135759212596163,0.5,64991.9482518492,8823.25571976163,285255.090520318,706957.146328391,10.877611232531,2019,"m"
75,0.04477471902724,0.186330553358519,0.5,56168.6925320875,10465.9435609284,233746.71663626,421702.055808073,7.50777767467467,2019,"m"
80,0.0739710126992073,0.277487816803219,0.5,45702.7489711591,12681.9560339125,171444.942703189,187955.339171813,4.11256091598391,2019,"m"
85,0.145973651630001,1,0.5,33020.7929372466,33020.7929372466,16510.3964686233,16510.3964686233,0.5,2019,"m"
0,0.0102210604188307,0.0101250675389782,0.0724333261641415,1e+05,1012.50675389782,99060.8324780507,6533716.82521499,65.3371682521499,2021,"m"
1,0.0004478688948514,0.00178956980420252,1.62221749386057,98987.4932461022,177.145028906925,395528.760633624,6434655.99273694,65.0047372827104,2021,"m"
5,0.000254096653679881,0.00126903221262553,0.5,98810.3482171952,125.393514828366,493487.470269249,6039127.23210332,61.1183680764761,2021,"m"
10,0.000463363870177559,0.00231199851627623,0.5,98684.9547023669,228.15946885066,492398.055902007,5545639.76183407,56.1953924846972,2021,"m"
15,0.00235820925755199,0.0116672342782772,0.5,98456.7952335162,1148.7184962778,487114.742934331,5053241.70593206,51.3244585500368,2021,"m"
20,0.00386811662263314,0.0190096904646179,0.5,97308.0767372384,1849.79641848218,478216.299803022,4566126.96299773,46.9244395337056,2021,"m"
