"year","sex","age","deaths"
1990,"male",0,2734.98273340687
1990,"male",1,695.342864092921
1990,"male",5,244.610628849103
1990,"male",10,196.927685362386
1990,"male",15,317.272381972733
1990,"male",20,390.583728667633
1990,"male",25,343.468604309305
1990,"male",30,333.247928067611
1990,"male",35,374.445055737656
1990,"male",40,327.441631448574
1990,"male",45,388.828923273302
1990,"male",50,398.494549665011
1990,"male",55,503.891298978949
1990,"male",60,557.300603266225
1990,"male",65,622.222757562567
1990,"male",70,616.820637259641
1990,"male",75,859.946568364038
1990,"male",80,944.246230644949
1990,"male",85,1570.92554993253
1991,"male",0,2501.22096432392
1991,"male",1,400.474073389863
1991,"male",5,160.107587754298
1991,"male",10,190.148190683289
1991,"male",15,334.490900699686
1991,"male",20,397.148618089872
1991,"male",25,372.008733937151
1991,"male",30,397.563952607309
1991,"male",35,354.138429209089
1991,"male",40,365.879065555677
1991,"male",45,420.147560422143
1991,"male",50,433.618360764538
1991,"male",55,489.079856395874
1991,"male",60,603.209115646304
1991,"male",65,705.830619084216
1991,"male",70,737.624333980224
1991,"male",75,787.779147197693
1991,"male",80,950.740953416446
1991,"male",85,1695.094814106
1992,"male",0,2212.63091794645
1992,"male",1,309.531946492034
1992,"male",5,144.94319950234
1992,"male",10,146.956299495428
1992,"male",15,291.899498997768
1992,"male",20,337.19424884225
1992,"male",25,325.849544253662
1992,"male",30,370.410398728202
1992,"male",35,387.189745267449
1992,"male",40,391.547948655627
1992,"male",45,410.672398589964
1992,"male",50,423.349795996861
1992,"male",55,524.412548199439
1992,"male",60,619.139277801863
1992,"male",65,722.253641998919
1992,"male",70,730.755297490965
1992,"male",75,759.945247390741
1992,"male",80,975.342804470108
1992,"male",85,1605.78107936544
1993,"male",0,2116.81839756599
1993,"male",1,322.993476644851
1993,"male",5,130.367933886364
1993,"male",10,134.832167820592
1993,"male",15,295.825801039209
1993,"male",20,379.085702821813
1993,"male",25,402.484083046543
1993,"male",30,329.753882369429
1993,"male",35,363.241884949505
1993,"male",40,350.490142586061
1993,"male",45,373.303987025669
1993,"male",50,446.535830874214
1993,"male",55,494.049211939632
1993,"male",60,632.906220590689
1993,"male",65,654.596444946237
1993,"male",70,812.643822141489
1993,"male",75,709.546150253811
1993,"male",80,998.176920419095
1993,"male",85,1544.96386150761
1994,"male",0,1996.87885196845
1994,"male",1,319.473640883464
1994,"male",5,132.808685618451
1994,"male",10,141.863823274254
1994,"male",15,303.850174672516
1994,"male",20,384.340287168546
1994,"male",25,356.168747794935
1994,"male",30,347.113610139132
1994,"male",35,401.444436073953
1994,"male",40,378.303528731344
1994,"male",45,421.56696419796
1994,"male",50,469.861031695579
1994,"male",55,472.87941091418
1994,"male",60,631.84738309384
1994,"male",65,626.816751062838
1994,"male",70,814.96238902231
1994,"male",75,677.123071372857
1994,"male",80,1018.19744126323
1994,"male",85,1629.92477804462
1995,"male",0,1968.82744518493
1995,"male",1,310.435132658027
1995,"male",5,142.114784755785
1995,"male",10,150.178034954695
1995,"male",15,289.269100885889
1995,"male",20,368.893696600123
1995,"male",25,295.316538535071
1995,"male",30,327.56953933071
1995,"male",35,363.854165225804
1995,"male",40,370.520167428289
1995,"male",45,384.012290723079
1995,"male",50,484.802918209451
1995,"male",55,489.84244958377
1995,"male",60,611.317746707561
1995,"male",65,753.913893598066
1995,"male",70,805.317113616116
1995,"male",75,712.589736328653
1995,"male",80,980.692805442403
1995,"male",85,1827.33407632793
1996,"male",0,1806.36799732163
1996,"male",1,314.197606815056
1996,"male",5,129.908625894687
1996,"male",10,128.9015822831
1996,"male",15,273.915862351587
1996,"male",20,338.366653493137
1996,"male",25,307.148301533949
1996,"male",30,376.634310733433
1996,"male",35,332.324391823617
1996,"male",40,407.852662692621
1996,"male",45,412.887880750554
1996,"male",50,474.317541057344
1996,"male",55,561.930335265389
1996,"male",60,657.599478366127
1996,"male",65,730.644648332869
1996,"male",70,852.96593901395
1996,"male",75,840.88141567491
1996,"male",80,908.843809215826
1996,"male",85,1868.06589949336
1997,"male",0,1683.11223259184
1997,"male",1,268.104474484751
1997,"male",5,143.845377918111
1997,"male",10,142.839466184418
1997,"male",15,321.891754781787
1997,"male",20,363.134135863204
1997,"male",25,337.986342520877
1997,"male",30,333.962695586104
1997,"male",35,392.305576140303
1997,"male",40,373.193253200135
1997,"male",45,415.441546015244
1997,"male",50,529.109571922563
1997,"male",55,507.985425515008
1997,"male",60,658.872185568971
1997,"male",65,713.191419188398
1997,"male",70,913.367854193321
1997,"male",75,888.736167800937
1997,"male",80,883.190502182529
1997,"male",85,1870.43303850723
1998,"male",0,1588.34419515582
1998,"male",1,263.5847951909
1998,"male",5,122.737958065992
1998,"male",10,149.901276654367
1998,"male",15,278.675527739997
1998,"male",20,323.947725387289
1998,"male",25,356.141288158697
1998,"male",30,333.002164916748
1998,"male",35,403.425583479202
1998,"male",40,435.61914625061
1998,"male",45,488.939734590753
1998,"male",50,499.000222956818
1998,"male",55,597.593008944254
1998,"male",60,666.004329833495
1998,"male",65,803.833020448584
1998,"male",70,871.238292501219
1998,"male",75,937.637515717247
1998,"male",80,798.802776265552
1998,"male",85,1890.36576398359
1999,"male",0,1503.52766356237
1999,"male",1,257.950532579129
1999,"male",5,126.96002775379
1999,"male",10,162.226702129843
1999,"male",15,283.14101427631
1999,"male",20,290.19434915152
1999,"male",25,365.765794243062
1999,"male",30,367.781032778836
1999,"male",35,343.598170349543
1999,"male",40,443.352477870378
1999,"male",45,444.360097138265
1999,"male",50,526.984877105018
1999,"male",55,605.579180000221
1999,"male",60,678.127767288101
1999,"male",65,838.33923088217
1999,"male",70,957.238304492862
1999,"male",75,964.291639368072
1999,"male",80,787.958267487808
1999,"male",85,1954.78137970121
2000,"male",0,1434.12779888792
