"year","age","sex","deaths","year_new"
"1990",0,"male",1,1990
"1991",0,"male",1,1991
"1992",0,"male",3,1992
"1993",0,"male",1,1993
"1994",0,"male",2,1994
"1995",0,"male",3,1995
"1996",0,"male",3,1996
"1997",0,"male",2,1997
"1998",0,"male",2,1998
"1999",0,"male",4,1999
"2000",0,"male",4,2000
"2001",0,"male",2,2001
"2002",0,"male",2,2002
"2003",0,"male",1,2003
"2004",0,"male",0,2004
"2005",0,"male",1,2005
"2006",0,"male",1,2006
"2007",0,"male",3,2007
"2008",0,"male",2,2008
"2009",0,"male",1,2010
"2010",0,"male",3,2010
"2011",0,"male",0,2010
"2012",0,"male",3,2012
"2013",0,"male",2,2013
"2014",0,"male",6,2014
"2015",0,"male",0,2015
"2016",0,"male",3,2016
"2018",0,"male",3,2019
"2019",0,"male",2,2019
"2020",0,"male",0,2021
"2021",0,"male",1,2021
"2022",0,"male",1,2021
"2023",0,"male",2,2023
"2024",0,"male",0,2024
"1990",1,"male",2,1990
"1991",1,"male",2,1991
"1992",1,"male",1,1992
"1993",1,"male",1,1993
"1995",1,"male",1,1995
"1996",1,"male",3,1996
"1998",1,"male",6,1998
"1999",1,"male",0,1999
"2000",1,"male",0,2000
"2001",1,"male",2,2001
"2002",1,"male",0,2002
"2003",1,"male",1,2003
"2004",1,"male",0,2004
"2005",1,"male",0,2005
"2006",1,"male",2,2006
"2007",1,"male",0,2007
"2008",1,"male",2,2008
"2009",1,"male",2,2010
"2010",1,"male",0,2010
"2011",1,"male",0,2010
"2012",1,"male",4,2012
"2013",1,"male",1,2013
"2014",1,"male",1,2014
"2015",1,"male",2,2015
"2016",1,"male",2,2016
"2017",1,"male",4,2017
"2018",1,"male",6,2019
"2019",1,"male",3,2019
"2020",1,"male",6,2021
"2021",1,"male",4,2021
"2022",1,"male",2,2021
"2023",1,"male",2,2023
"2024",1,"male",3,2024
"1990",5,"male",4,1990
"1991",5,"male",3,1991
"1992",5,"male",4,1992
"1993",5,"male",1,1993
"1994",5,"male",1,1994
"1995",5,"male",1,1995
"1996",5,"male",1,1996
"1997",5,"male",2,1997
"1998",5,"male",3,1998
"1999",5,"male",0,1999
"2000",5,"male",2,2000
"2001",5,"male",6,2001
"2002",5,"male",2,2002
"2003",5,"male",2,2003
"2005",5,"male",0,2005
"2006",5,"male",0,2006
"2007",5,"male",0,2007
"2008",5,"male",1,2008
"2009",5,"male",1,2010
"2010",5,"male",0,2010
"2011",5,"male",1,2010
"2013",5,"male",1,2013
"2014",5,"male",2,2014
"2015",5,"male",0,2015
"2016",5,"male",1,2016
"2017",5,"male",3,2017
"2018",5,"male",3,2019
"2019",5,"male",7,2019
"2020",5,"male",3,2021
"2021",5,"male",3,2021
"2022",5,"male",3,2021
"2023",5,"male",5,2023
"2024",5,"male",6,2024
"1990",10,"male",5,1990
"1991",10,"male",5,1991
"1992",10,"male",4,1992
"1993",10,"male",5,1993
"1994",10,"male",4,1994
"1995",10,"male",1,1995
"1996",10,"male",1,1996
"1997",10,"male",5,1997
"1998",10,"male",6,1998
"1999",10,"male",5,1999
"2000",10,"male",7,2000
"2001",10,"male",1,2001
"2002",10,"male",4,2002
"2003",10,"male",4,2003
"2004",10,"male",2,2004
"2005",10,"male",3,2005
"2006",10,"male",2,2006
"2007",10,"male",6,2007
"2008",10,"male",2,2008
"2009",10,"male",2,2010
"2010",10,"male",5,2010
"2011",10,"male",5,2010
"2012",10,"male",7,2012
"2013",10,"male",1,2013
"2014",10,"male",6,2014
"2015",10,"male",7,2015
"2016",10,"male",10,2016
"2017",10,"male",12,2017
"2018",10,"male",16,2019
"2019",10,"male",24,2019
"2020",10,"male",29,2021
"2021",10,"male",28,2021
"2022",10,"male",28,2021
"2023",10,"male",25,2023
"2024",10,"male",26,2024
"1990",15,"male",41,1990
"1991",15,"male",54,1991
"1992",15,"male",44,1992
"1993",15,"male",36,1993
"1994",15,"male",35,1994
"1995",15,"male",29,1995
"1996",15,"male",39,1996
"1997",15,"male",35,1997
"1998",15,"male",37,1998
"1999",15,"male",29,1999
"2000",15,"male",31,2000
"2001",15,"male",36,2001
"2002",15,"male",19,2002
"2003",15,"male",17,2003
"2004",15,"male",21,2004
"2005",15,"male",23,2005
"2006",15,"male",13,2006
"2007",15,"male",27,2007
"2008",15,"male",20,2008
"2009",15,"male",51,2010
"2010",15,"male",40,2010
"2011",15,"male",58,2010
"2012",15,"male",55,2012
"2013",15,"male",49,2013
"2014",15,"male",64,2014
"2015",15,"male",79,2015
"2016",15,"male",78,2016
"2017",15,"male",174,2017
"2018",15,"male",247,2019
"2019",15,"male",281,2019
"2020",15,"male",379,2021
"2021",15,"male",318,2021
"2022",15,"male",298,2021
"2023",15,"male",296,2023
"2024",15,"male",323,2024
"1990",20,"male",67,1990
"1991",20,"male",74,1991
"1992",20,"male",49,1992
"1993",20,"male",56,1993
"1994",20,"male",70,1994
"1995",20,"male",65,1995
"1996",20,"male",50,1996
"1997",20,"male",64,1997
"1998",20,"male",39,1998
"1999",20,"male",30,1999
"2000",20,"male",25,2000
"2001",20,"male",38,2001
"2002",20,"male",31,2002
"2003",20,"male",33,2003
"2004",20,"male",24,2004
"2005",20,"male",31,2005
"2006",20,"male",32,2006
"2007",20,"male",28,2007
"2008",20,"male",42,2008
"2009",20,"male",65,2010
"2010",20,"male",59,2010
"2011",20,"male",77,2010
"2012",20,"male",110,2012
"2013",20,"male",87,2013
"2014",20,"male",97,2014
"2015",20,"male",117,2015
"2016",20,"male",149,2016
"2017",20,"male",302,2017
"2018",20,"male",497,2019
"2019",20,"male",568,2019
"2020",20,"male",643,2021
"2021",20,"male",661,2021
"2022",20,"male",519,2021
"2023",20,"male",525,2023
"2024",20,"male",515,2024
"1990",25,"male",43.8958333333333,1990
"1991",25,"male",50.9615384615385,1991
"1992",25,"male",44,1992
"1993",25,"male",68,1993
"1994",25,"male",55,1994
"1995",25,"male",40,1995
"1996",25,"male",35,1996
"1997",25,"male",34,1997
"1998",25,"male",48,1998
"1999",25,"male",31,1999
"2000",25,"male",42,2000
"2001",25,"male",22,2001
"2002",25,"male",22,2002
"2003",25,"male",29,2003
"2004",25,"male",30,2004
"2005",25,"male",33,2005
"2006",25,"male",28,2006
"2007",25,"male",25,2007
"2008",25,"male",34,2008
"2009",25,"male",63,2010
"2010",25,"male",66,2010
"2011",25,"male",84,2010
"2012",25,"male",78,2012
"2013",25,"male",109,2013
"2014",25,"male",112,2014
"2015",25,"male",137,2015
"2016",25,"male",173,2016
"2017",25,"male",327,2017
"2018",25,"male",543,2019
"2019",25,"male",632,2019
"2020",25,"male",750,2021
"2021",25,"male",608,2021
"2022",25,"male",550,2021
"2023",25,"male",569,2023
"2024",25,"male",527,2024
"1990",30,"male",32,1990
"1991",30,"male",38,1991
"1992",30,"male",44,1992
"1993",30,"male",36,1993
"1994",30,"male",32,1994
"1995",30,"male",30,1995
"1996",30,"male",34,1996
"1997",30,"male",23,1997
"1998",30,"male",31,1998
"1999",30,"male",30,1999
"2000",30,"male",15,2000
"2001",30,"male",22,2001
"2002",30,"male",18,2002
"2003",30,"male",24,2003
"2004",30,"male",14,2004
"2005",30,"male",23,2005
"2006",30,"male",18,2006
"2007",30,"male",21,2007
"2008",30,"male",30,2008
"2009",30,"male",65,2010
"2010",30,"male",57,2010
"2011",30,"male",81,2010
"2012",30,"male",72,2012
"2013",30,"male",80,2013
"2014",30,"male",122,2014
"2015",30,"male",115,2015
"2016",30,"male",152,2016
"2017",30,"male",307,2017
"2018",30,"male",477,2019
"2019",30,"male",548,2019
"2020",30,"male",620,2021
"2021",30,"male",525,2021
"2022",30,"male",488,2021
"2023",30,"male",462,2023
"2024",30,"male",493,2024
"1990",35,"male",32,1990
"1991",35,"male",28,1991
"1992",35,"male",30,1992
"1993",35,"male",37,1993
"1994",35,"male",21,1994
"1995",35,"male",21,1995
"1996",35,"male",25,1996
"1997",35,"male",31,1997
"1998",35,"male",20,1998
"1999",35,"male",15,1999
"2000",35,"male",21,2000
"2001",35,"male",13,2001
"2002",35,"male",15,2002
"2003",35,"male",17,2003
"2004",35,"male",15,2004
"2005",35,"male",17,2005
"2006",35,"male",19,2006
"2007",35,"male",23,2007
"2008",35,"male",31,2008
"2009",35,"male",55,2010
"2010",35,"male",41,2010
"2011",35,"male",45,2010
"2012",35,"male",70,2012
"2013",35,"male",84,2013
"2014",35,"male",83,2014
"2015",35,"male",113,2015
"2016",35,"male",159,2016
"2017",35,"male",264,2017
"2018",35,"male",387,2019
"2019",35,"male",425,2019
"2020",35,"male",529,2021
"2021",35,"male",418,2021
"2022",35,"male",357,2021
"2023",35,"male",401,2023
"2024",35,"male",408,2024
"1990",40,"male",23,1990
"1991",40,"male",21,1991
"1992",40,"male",20,1992
"1993",40,"male",27.84375,1993
"1994",40,"male",18,1994
"1995",40,"male",17,1995
"1996",40,"male",18,1996
"1997",40,"male",17,1997
"1998",40,"male",16,1998
"1999",40,"male",10,1999
"2000",40,"male",10,2000
"2001",40,"male",10,2001
"2002",40,"male",16,2002
"2003",40,"male",13,2003
"2004",40,"male",11,2004
"2005",40,"male",10,2005
"2006",40,"male",15,2006
"2007",40,"male",8,2007
"2008",40,"male",23,2008
"2009",40,"male",21,2010
"2010",40,"male",37,2010
"2011",40,"male",37,2010
"2012",40,"male",44,2012
"2013",40,"male",55,2013
"2014",40,"male",64,2014
"2015",40,"male",86,2015
"2016",40,"male",93.8691588785047,2016
"2017",40,"male",193,2017
"2018",40,"male",302,2019
"2019",40,"male",315,2019
"2020",40,"male",402,2021
"2021",40,"male",305,2021
"2022",40,"male",311,2021
"2023",40,"male",309,2023
"2024",40,"male",319,2024
"1990",45,"male",18,1990
"1991",45,"male",24,1991
"1992",45,"male",16,1992
"1993",45,"male",26,1993
"1994",45,"male",16,1994
"1995",45,"male",9,1995
"1996",45,"male",20,1996
"1997",45,"male",21,1997
"1998",45,"male",19,1998
"1999",45,"male",18,1999
"2000",45,"male",12,2000
"2001",45,"male",12,2001
"2002",45,"male",4,2002
"2003",45,"male",16,2003
"2004",45,"male",12,2004
"2005",45,"male",16,2005
"2006",45,"male",14,2006
"2007",45,"male",10,2007
"2008",45,"male",10,2008
"2009",45,"male",25,2010
"2010",45,"male",17,2010
"2011",45,"male",29,2010
"2012",45,"male",37,2012
"2013",45,"male",41,2013
"2014",45,"male",39,2014
"2015",45,"male",53,2015
"2016",45,"male",67,2016
"2017",45,"male",128,2017
"2018",45,"male",201,2019
"2019",45,"male",220,2019
"2020",45,"male",284,2021
"2021",45,"male",205,2021
"2022",45,"male",193,2021
"2023",45,"male",202,2023
"2024",45,"male",209,2024
"1990",50,"male",28,1990
"1991",50,"male",15,1991
"1992",50,"male",14,1992
"1993",50,"male",10,1993
"1994",50,"male",13,1994
"1995",50,"male",14,1995
"1996",50,"male",9,1996
"1997",50,"male",10,1997
"1998",50,"male",12,1998
"1999",50,"male",6,1999
"2000",50,"male",9,2000
"2001",50,"male",7,2001
"2002",50,"male",5,2002
"2003",50,"male",11,2003
"2004",50,"male",11,2004
"2005",50,"male",7,2005
"2006",50,"male",4,2006
"2007",50,"male",15,2007
"2008",50,"male",10,2008
"2009",50,"male",23,2010
"2010",50,"male",20,2010
"2011",50,"male",21,2010
"2012",50,"male",28,2012
"2013",50,"male",35,2013
"2014",50,"male",24,2014
"2015",50,"male",33,2015
"2016",50,"male",49,2016
"2017",50,"male",77,2017
"2018",50,"male",132,2019
"2019",50,"male",131,2019
"2020",50,"male",168,2021
"2021",50,"male",127,2021
"2022",50,"male",165,2021
"2023",50,"male",133,2023
"2024",50,"male",164,2024
"1990",55,"male",17,1990
"1991",55,"male",22,1991
"1992",55,"male",16,1992
"1993",55,"male",12,1993
"1994",55,"male",8,1994
"1995",55,"male",11,1995
"1996",55,"male",9,1996
"1997",55,"male",9,1997
"1998",55,"male",13,1998
"1999",55,"male",7,1999
"2000",55,"male",10,2000
"2001",55,"male",9,2001
"2002",55,"male",10,2002
"2003",55,"male",10,2003
"2004",55,"male",4,2004
"2005",55,"male",7,2005
"2006",55,"male",8,2006
"2007",55,"male",6,2007
"2008",55,"male",5,2008
"2009",55,"male",9,2010
"2010",55,"male",15,2010
"2011",55,"male",14,2010
"2012",55,"male",19,2012
"2013",55,"male",18,2013
"2014",55,"male",23,2014
"2015",55,"male",32,2015
"2016",55,"male",36,2016
"2017",55,"male",46,2017
"2018",55,"male",52,2019
"2019",55,"male",62,2019
"2020",55,"male",99,2021
"2021",55,"male",75,2021
"2022",55,"male",88,2021
"2023",55,"male",85,2023
"2024",55,"male",95,2024
"1990",60,"male",6,1990
"1991",60,"male",8,1991
"1992",60,"male",11,1992
"1993",60,"male",12,1993
"1994",60,"male",8,1994
"1995",60,"male",7,1995
"1996",60,"male",8,1996
"1997",60,"male",10,1997
"1998",60,"male",14,1998
"1999",60,"male",8,1999
"2000",60,"male",6,2000
"2001",60,"male",3,2001
"2002",60,"male",4,2002
"2003",60,"male",3,2003
"2004",60,"male",8,2004
"2005",60,"male",6,2005
"2006",60,"male",9,2006
"2007",60,"male",3,2007
"2008",60,"male",9,2008
"2009",60,"male",10,2010
"2010",60,"male",4,2010
"2011",60,"male",14,2010
"2012",60,"male",7,2012
"2013",60,"male",19,2013
"2014",60,"male",15,2014
"2015",60,"male",17,2015
"2016",60,"male",17,2016
"2017",60,"male",28,2017
"2018",60,"male",41,2019
"2019",60,"male",42,2019
"2020",60,"male",52,2021
"2021",60,"male",41,2021
