"sex","year","ex_0"
"male",1990,18.9627308489574
"female",1990,18.9949178232182
"male",1991,18.9585946632117
"female",1991,18.9965456023661
"male",1992,17.9678372474394
"female",1992,17.9967903939144
"male",1993,18.9621101316025
"female",1993,18.9960957100735
"male",1994,17.9662429827177
"female",1994,17.9970153321988
"male",1995,18.9704628525436
"female",1995,18.9964754280882
"male",1996,18.9696746024831
"female",1996,18.9962104843051
"male",1997,16.9717126206606
"female",1997,16.9977351875139
"male",1998,18.9688362286125
"female",1998,18.9965154355857
"male",1999,17.9791176637238
"female",1999,17.9963154809293
"male",2000,18.9767750142553
"female",2000,18.9959206023348
"male",2001,18.9775383828381
"female",2001,18.9953957584361
"male",2002,18.9818324212642
"female",2002,18.9957406648265
"male",2003,18.9785628029845
"female",2003,18.9964654259374
"male",2004,16.9841455506195
"female",2004,16.9977801777398
"male",2005,18.9792465422499
"female",2005,18.9958006295811
"male",2006,18.9810838958928
"female",2006,18.9975602077371
"male",2007,18.9790964599959
"female",2007,18.9968103422234
"male",2008,18.9741158634984
"female",2008,18.9955357025952
"male",2010,18.952523890734
"female",2010,18.994920949161
"male",2012,17.9375904945965
"female",2012,17.9933466421862
"male",2013,18.93472895043
"female",2013,18.9925770016369
"male",2014,18.924189065771
"female",2014,18.992826962393
"male",2015,18.9101790663923
"female",2015,18.9889195955346
"male",2016,18.8881684928809
"female",2016,18.987473817624
"male",2019,18.6500318782339
"female",2019,18.9590338520032
"male",2021,18.6092279726086
"female",2021,18.9390135163571
"male",2023,18.6527954265611
"female",2023,18.9412527341218
"male",2024,18.6449721257551
"female",2024,18.9428570194601
